-9,1
-8,1
-7,2
-6,3
-6,1
-5,4
-5,1
-4,3
-4,8
-3,10
-3,23
-2,31
-2,65
-1,95
-1,242
0,531
0,739
0,613
1,309
1,137
2,49
2,30
3,15
3,13
4,6
4,2
5,4
5,2
6,1
7,1
8,1
