Day,Adjusted price
367,9879
368,9930
369,10008.5
370,10004.2002
371,10019.79981
372,9991.900391
373,10030.09961
374,10081.09961
375,10190.90039
376,10223.59961
377,10209.5
378,10186.09961
379,10165.29981
380,10309.5
381,10434
382,10420.09961
383,10379.5
384,10463.29981
385,10481.79981
386,10418.90039
387,10495.59961
388,10539.2002
389,10447.79981
390,10390.90039
391,10487.59961
392,10469.2002
393,10435.59961
394,10601.5
395,10690.09961
396,10470.09961
397,10299
398,10393
399,10366
400,10151.40039
401,9982.099609
402,9902.700195
403,9491.900391
404,10004.79981
405,9976.900391
406,10186.90039
407,10286
408,10022.90039
409,9932
410,9993.200195
411,9670.599609
412,9433.599609
413,9446.900391
414,9477.599609
415,9189.400391
416,9392.700195
417,9647.299805
418,9637.099609
419,9621.5
420,9660.400391
421,9801.200195
422,9599.900391
423,9477.700195
424,9356.200195
425,9487.200195
426,9609.700195
427,9662.599609
428,9795.400391
429,9880.299805
430,9860
431,9863.799805
432,9952.700195
433,9997.799805
434,9938.700195
435,9833.200195
436,9698.299805
437,9606.099609
438,9644.900391
439,9365.299805
440,9366.099609
441,9139.700195
442,9276.400391
443,9301.400391
444,9501.099609
445,9562.700195
446,9719.200195
447,9745.799805
448,9774.200195
449,9938.400391
450,9895.599609
451,9852.5
452,9775.299805
453,9726.5
454,9691.299805
455,9846.299805
456,10003.2002
457,10093.7002
458,10138.09961
459,10106.40039
460,10019.7002
461,10074.2002
462,9948.700195
463,10161.2002
464,10135.90039
465,10126.40039
466,10166.09961
467,10089.79981
468,10212.2002
469,10079.79981
470,9854.5
471,9788.299805
472,9782.299805
473,9774.200195
474,9911.900391
475,9886.799805
476,9835.099609
477,9761.200195
478,9826.200195
479,9700.900391
480,9623.599609
481,9677.900391
482,9779.900391
483,9825.099609
484,10060.90039
485,10141
486,10204.09961
487,10240.40039
488,10181.29981
489,10216.7002
490,10325.7002
491,10401.79981
492,10508.29981
493,10472.40039
494,10494.29981
495,10442.09961
496,10441
497,10548.2002
498,10545.09961
499,10448.29981
500,10426
501,10539
502,10562.7002
503,10552.40039
504,10562.5
505,10531.79981
506,10592.5
507,10563.79981
508,10682
509,10800.2002
510,10765.59961
511,10724.90039
512,10804.79981
513,10753.59961
514,10902
515,10882.7002
516,10833.5
517,10875.09961
518,10826.2002
519,10831.90039
520,10904.7002
521,10894.7002
522,10978.09961
523,10940.7002
524,10827.29981
525,10848.79981
526,10843.5
527,10875.29981
528,10927.5
529,10876.29981
530,11016.5
531,11080
532,11047.59961
533,11106.90039
534,10994.5
535,10899.09961
536,10866.5
537,10923.2002
538,10717.7002
539,10713.2002
540,10844.40039
541,10827.09961
542,10796.59961
543,10619.29981
544,10731.09961
545,10835
546,10809.40039
547,10689.59961
548,10607.79981
549,10809.29981
550,11076.79981
551,11082.2002
552,11151.40039
553,11299.40039
554,11218.7002
555,11263.40039
556,11281
557,11359.7002
558,11409.79981
559,11372.79981
560,11329
561,11426.79981
562,11433.09961
563,11506.7002
564,11550.2002
565,11569.2002
566,11492.90039
567,11628.90039
568,11569.40039
569,11558.79981
570,11722.59961
571,11741.59961
572,11716.90039
573,11674.40039
574,11575.29981
575,11735.29981
576,11765.29981
577,11767
578,11742.40039
579,11741.5
580,11830.29981
581,11728.2002
582,11505
583,11532.7002
584,11573.40039
585,11501.59961
586,11612.29981
587,11617.40039
588,11546
589,11471.5
590,11608.5
591,11606.7002
592,11575.79981
593,11666.5
594,11811.09961
595,11830.5
596,11796.59961
597,11721.59961
598,11797.79981
599,11833.90039
600,11749.7002
601,11807.29981
602,11827.79981
603,11828.29981
604,11727.7002
605,11652.40039
606,11521.90039
607,11409.7002
608,11609
609,11621.29981
610,11574.09961
611,11543.40039
612,11652.40039
613,11723
614,11747.90039
615,11743.5
616,11730.2002
617,11515.59961
618,11409.5
619,11349.7002
620,11151.2002
621,11033.09961
622,11236.40039
623,11345.79981
624,11511.2002
625,11441.59961
626,11447.40039
627,11605.5
628,11629.29981
629,11637.40039
630,11636.40039
631,11676.40039
632,11592
633,11708.7002
634,11766.59961
635,11737.7002
636,11781.40039
637,11659.40039
638,11726.2002
639,11689.7002
640,11541.59961
641,11615.79981
642,11603.2002
643,11679.2002
644,11490.79981
645,11574.5
646,11756.2002
647,11810.5
648,11869.40039
649,11895
650,12013.90039
651,12013.90039
652,12014.79981
653,11909.09961
654,11845.7002
655,11907.2002
656,11896.09961
657,12055.2002
658,12017.90039
659,11967.09961
660,11999.2002
661,11943.59961
662,11836
663,11887.5
664,11986.5
665,11992.2002
666,11795.7002
667,11858.79981
668,11825.2002
669,11841
670,11958.79981
671,12060.79981
672,12009.79981
673,11963
674,11972.7002
